FullName,TopResultName,TopResultLink,TopResultName2,TopResultLink2,Surname,Expert_Checked,SelectedName,SelectedLink,Type,TopResultName_LastStr,TopResultName2_LastStr
Russell Drysdale,Russell Drysdale,https://www.austlit.edu.au/austlit/page/A54149,Russell Drysdale,https://www.austlit.edu.au/austlit/page/A54149,Drysdale,TRUE,Russell Drysdale,https://www.austlit.edu.au/austlit/page/A54149,Exact match,Drysdale,Drysdale
Douglas Dundas,Vera Newsom,https://www.austlit.edu.au/austlit/page/A20748,Helen Baldwin,https://www.austlit.edu.au/austlit/page/A45818,Dundas,TRUE,,,"No match, but related record",Newsom,Baldwin
Brian Dunlop,Lynne Strahan,https://www.austlit.edu.au/austlit/page/A5715,Brian Dunlop,https://www.austlit.edu.au/austlit/page/A66303,Dunlop,TRUE,Brian Dunlop,https://www.austlit.edu.au/austlit/page/A66303,Exact match,Strahan,Dunlop
Max Dupain,Max Dupain,https://www.austlit.edu.au/austlit/page/A117552,Max Dupain,https://www.austlit.edu.au/austlit/page/A117552,Dupain,TRUE,Max Dupain,https://www.austlit.edu.au/austlit/page/A117552,Exact match,Dupain,Dupain
Wladyslaw Dutkiewicz,Peter Mathers,https://www.austlit.edu.au/austlit/page/A28832,Ludwik Dutkiewicz,https://www.austlit.edu.au/austlit/page/7880985,Dutkiewicz,TRUE,Ludwik Dutkiewicz,https://www.austlit.edu.au/austlit/page/7880985,"No match, but related record",Mathers,Dutkiewicz
Michal Dutkiewicz,Michal Dutkiewicz,https://www.austlit.edu.au/austlit/page/A59236,Michal Dutkiewicz,https://www.austlit.edu.au/austlit/page/A59236,Dutkiewicz,TRUE,Michal Dutkiewicz,https://www.austlit.edu.au/austlit/page/A59236,Exact match,Dutkiewicz,Dutkiewicz
Moya Dyring,Peta Tait,https://www.austlit.edu.au/austlit/page/A2372,No Result Found,,Dyring,TRUE,,,"No match, but related record",Tait,Found
Eddie Tjapangati Ediminja,No Result Found,,No Result Found,,Ediminja,TRUE,No Result Found,,No match,Found,Found
Sandy Edwards,Sandy Edwards,https://www.austlit.edu.au/austlit/page/A96797,Sandy Edwards,https://www.austlit.edu.au/austlit/page/A96797,Edwards,TRUE,Sandy Edwards,https://www.austlit.edu.au/austlit/page/A96797,Exact match,Edwards,Edwards
Charlie Tjapaltjarri Egalie,No Result Found,,No Result Found,,Egalie,TRUE,No Result Found,,No match,Found,Found
Jeannie Nungarrayi Egan,Jeannie Egan Nungarrayi,https://www.austlit.edu.au/austlit/page/A123612,Jeannie Egan Nungarrayi,https://www.austlit.edu.au/austlit/page/A123612,Egan,TRUE,Jeannie Egan Nungarrayi,https://www.austlit.edu.au/austlit/page/A123612,Exact match,Nungarrayi,Nungarrayi
Betty Egan,Phillip Gwynne,https://www.austlit.edu.au/austlit/page/A3779,No Result Found,,Egan,TRUE,,,"No match, but related record",Gwynne,Found
Bonita Ely,Bonita Ely,https://www.austlit.edu.au/austlit/page/A148582,Bonita Ely,https://www.austlit.edu.au/austlit/page/A148582,Ely,TRUE,Bonita Ely,https://www.austlit.edu.au/austlit/page/A148582,Exact match,Ely,Ely
Merran Esson,No Result Found,,No Result Found,,Esson,TRUE,No Result Found,,No match,Found,Found
Rod Ewins,No Result Found,,No Result Found,,Ewins,TRUE,No Result Found,,No match,Found,Found
Dongwang Fan,Ruth Skilbeck,https://www.austlit.edu.au/austlit/page/A79128,No Result Found,,Fan,TRUE,,,"No match, but related record",Skilbeck,Found
James Fardoulys,No Result Found,,No Result Found,,Fardoulys,TRUE,No Result Found,,No match,Found,Found
Anne Ferran,No Result Found,,No Result Found,,Ferran,TRUE,No Result Found,,No match,Found,Found
Vanessa Fisher,Vanessa Fisher,https://www.austlit.edu.au/austlit/page/A100635,Vanessa Fisher,https://www.austlit.edu.au/austlit/page/A100635,Fisher,TRUE,Vanessa Fisher,https://www.austlit.edu.au/austlit/page/A100635,Exact match,Fisher,Fisher
Michael Fitzjames,No Result Found,,No Result Found,,Fitzjames,TRUE,No Result Found,,No match,Found,Found
Cedric Flower,Cedric Flower,https://www.austlit.edu.au/austlit/page/A30717,Cedric Flower,https://www.austlit.edu.au/austlit/page/A30717,Flower,TRUE,Cedric Flower,https://www.austlit.edu.au/austlit/page/A30717,Exact match,Flower,Flower
Bert Flugelman,Ron Pretty,https://www.austlit.edu.au/austlit/page/A6444,No Result Found,,Flugelman,TRUE,,,"No match, but related record",Pretty,Found
Joanna Flynn,Joanna Flynn,https://www.austlit.edu.au/austlit/page/A108515,Joanna Flynn,https://www.austlit.edu.au/austlit/page/A108515,Flynn,TRUE,Joanna Flynn,https://www.austlit.edu.au/austlit/page/A108515,Exact match,Flynn,Flynn
Roger Foley,Bridget Griffen-Foley,https://www.austlit.edu.au/austlit/page/A28162,David Carter,https://www.austlit.edu.au/austlit/page/A5257,Foley,TRUE,,,"No match, but related record",Griffen-Foley,Carter
Fiona Foley,Fiona Foley,https://www.austlit.edu.au/austlit/page/8840600,Fiona Foley,https://www.austlit.edu.au/austlit/page/8840600,Foley,TRUE,Fiona Foley,https://www.austlit.edu.au/austlit/page/8840600,Exact match,Foley,Foley
Sue Ford,Angela Blakston,https://www.austlit.edu.au/austlit/page/A105776,No Result Found,,Ford,TRUE,,,"No match, but related record",Blakston,Found
Ivor Pengelly Francis,No Result Found,,No Result Found,,Francis,TRUE,No Result Found,,No match,Found,Found
Margaret Francis,Richard Morecroft,https://www.austlit.edu.au/austlit/page/A71597,Hilary Lofting,https://www.austlit.edu.au/austlit/page/A8004,Francis,TRUE,,,"No match, but related record",Morecroft,Lofting
Iris Duncan Francis,No Result Found,,No Result Found,,Francis,TRUE,No Result Found,,No match,Found,Found
Leonard French,Vincent Buckley,https://www.austlit.edu.au/austlit/page/A31963,Leonard French,https://www.austlit.edu.au/austlit/page/A79692,French,TRUE,Leonard French,https://www.austlit.edu.au/austlit/page/A79692,Exact match,Buckley,French
Klaus Friedeberger,No Result Found,,No Result Found,,Friedeberger,TRUE,No Result Found,,No match,Found,Found
Donald Friend,Donald Friend,https://www.austlit.edu.au/austlit/page/A4670,Donald Friend,https://www.austlit.edu.au/austlit/page/A4670,Friend,TRUE,Donald Friend,https://www.austlit.edu.au/austlit/page/A4670,Exact match,Friend,Friend
Corrie Fullard,No Result Found,,No Result Found,,Fullard,TRUE,No Result Found,,No match,Found,Found
Sam Fullbrook,Joe Dolce,https://www.austlit.edu.au/austlit/page/A61159,No Result Found,,Fullbrook,TRUE,,,"No match, but related record",Dolce,Found
Helen Fuller,Helen Townsend,https://www.austlit.edu.au/austlit/page/A34183,Harry Clay,https://www.austlit.edu.au/austlit/page/A106387,Fuller,TRUE,,,"No match, but related record",Townsend,Clay
Adrienne Gaha,No Result Found,,No Result Found,,Gaha,TRUE,No Result Found,,No match,Found,Found
Anthony Galbraith,Anthony Kimmins,https://www.austlit.edu.au/austlit/page/A8862,No Result Found,,Galbraith,TRUE,,,"No match, but related record",Kimmins,Found
Gunybi Ganambarr,Gunybi Ganambarr,https://www.austlit.edu.au/austlit/page/8839594,Gunybi Ganambarr,https://www.austlit.edu.au/austlit/page/8839594,Ganambarr,TRUE,Gunybi Ganambarr,https://www.austlit.edu.au/austlit/page/8839594,Exact match,Ganambarr,Ganambarr
Rosalie Gascoigne,Rosalie Gascoigne,https://www.austlit.edu.au/austlit/page/A55269,Rosalie Gascoigne,https://www.austlit.edu.au/austlit/page/A55269,Gascoigne,TRUE,Rosalie Gascoigne,https://www.austlit.edu.au/austlit/page/A55269,Exact match,Gascoigne,Gascoigne
Marea Gazzard,No Result Found,,No Result Found,,Gazzard,TRUE,No Result Found,,No match,Found,Found
Daniel Geia,No Result Found,,No Result Found,,Geia,TRUE,No Result Found,,No match,Found,Found
Ian Gentle,Ian Hill,https://www.austlit.edu.au/austlit/page/A18692,Kester Berwick,https://www.austlit.edu.au/austlit/page/A6604,Gentle,TRUE,,,"No match, but related record",Hill,Berwick
Sister Nakamarra Gibson,No Result Found,,No Result Found,,Gibson,TRUE,No Result Found,,No match,Found,Found
Barbara Nakamarra Gibson,No Result Found,,No Result Found,,Gibson,TRUE,No Result Found,,No match,Found,Found
Allan Giddy,No Result Found,,No Result Found,,Giddy,TRUE,No Result Found,,No match,Found,Found
Mick Tjakamarra Gill,No Result Found,,No Result Found,,Gill,TRUE,No Result Found,,No match,Found,Found
Simryn Gill,Erin Shiel,https://www.austlit.edu.au/austlit/page/6851783,No Result Found,,Gill,TRUE,,,"No match, but related record",Shiel,Found
George Gittoes,George Gittoes,https://www.austlit.edu.au/austlit/page/10488873,George Gittoes,https://www.austlit.edu.au/austlit/page/10488873,Gittoes,TRUE,George Gittoes,https://www.austlit.edu.au/austlit/page/10488873,Exact match,Gittoes,Gittoes
Shaun Gladwell,Shaun Gladwell,https://www.austlit.edu.au/austlit/page/A151422,Shaun Gladwell,https://www.austlit.edu.au/austlit/page/A151422,Gladwell,TRUE,Shaun Gladwell,https://www.austlit.edu.au/austlit/page/A151422,Exact match,Gladwell,Gladwell
Anna Glynn,Anna Glynn,https://www.austlit.edu.au/austlit/page/A95617,Anna Glynn,https://www.austlit.edu.au/austlit/page/A95617,Glynn,TRUE,Anna Glynn,https://www.austlit.edu.au/austlit/page/A95617,Exact match,Glynn,Glynn
Robyn Gordon,Timoshenko Aslanides,https://www.austlit.edu.au/austlit/page/A4598,Penguin New Zealand,https://www.austlit.edu.au/austlit/page/A138922,Gordon,TRUE,,,"No match, but related record",Aslanides,Zealand
Julie Gough,Julie Gough,https://www.austlit.edu.au/austlit/page/A131617,Julie Gough,https://www.austlit.edu.au/austlit/page/A131617,Gough,TRUE,Julie Gough,https://www.austlit.edu.au/austlit/page/A131617,Exact match,Gough,Gough
Annemarie Graham,No Result Found,,No Result Found,,Graham,TRUE,No Result Found,,No match,Found,Found
Peter Sebastian Graham,Anthony Mir,https://www.austlit.edu.au/austlit/page/6341756,No Result Found,,Graham,TRUE,,,"No match, but related record",Mir,Found
Judy Nampijinpa Granites,No Result Found,,No Result Found,,Granites,TRUE,No Result Found,,No match,Found,Found
Nancy Grant,Ray Lawler,https://www.austlit.edu.au/austlit/page/A20518,Jean Kent,https://www.austlit.edu.au/austlit/page/A6935,Grant,TRUE,,,"No match, but related record",Lawler,Kent
Lola Greeno,Lola Greeno,https://www.austlit.edu.au/austlit/page/A118763,Lola Greeno,https://www.austlit.edu.au/austlit/page/A118763,Greeno,TRUE,Lola Greeno,https://www.austlit.edu.au/austlit/page/A118763,Exact match,Greeno,Greeno
Pamela Griffith,Pip Karmel,https://www.austlit.edu.au/austlit/page/A8011,Pamela Rushby,https://www.austlit.edu.au/austlit/page/A47738,Griffith,TRUE,,,"No match, but related record",Karmel,Rushby
Ross Grounds,Joseph Furphy,https://www.austlit.edu.au/austlit/page/A25736,George Wallace,https://www.austlit.edu.au/austlit/page/A71182,Grounds,TRUE,,,"No match, but related record",Furphy,Wallace
Melba  Gunjarrwanga,No Result Found,,No Result Found,,Gunjarrwanga,TRUE,No Result Found,,No match,Found,Found
Oswald Hall,Oswald Hall,https://www.austlit.edu.au/austlit/page/A143032,Oswald Hall,https://www.austlit.edu.au/austlit/page/A143032,Hall,TRUE,Oswald Hall,https://www.austlit.edu.au/austlit/page/A143032,Exact match,Hall,Hall
Fiona Hall,Bronwyn Evans,https://www.austlit.edu.au/austlit/page/A147000,Horwitz,https://www.austlit.edu.au/austlit/page/A37448,Hall,TRUE,,,"No match, but related record",Evans,Horwitz
Michael Hamlyn,Stephan Elliott,https://www.austlit.edu.au/austlit/page/A19,Sun Books,https://www.austlit.edu.au/austlit/page/A40521,Hamlyn,TRUE,,,"No match, but related record",Elliott,Books
Barbara Hanrahan,Barbara Hanrahan,https://www.austlit.edu.au/austlit/page/A34110,Barbara Hanrahan,https://www.austlit.edu.au/austlit/page/A34110,Hanrahan,TRUE,Barbara Hanrahan,https://www.austlit.edu.au/austlit/page/A34110,Exact match,Hanrahan,Hanrahan
Gwyn Hanssen Pigott,Jane Gibian,https://www.austlit.edu.au/austlit/page/A14539,No Result Found,,Hanssen Pigott,TRUE,,,"No match, but related record",Gibian,Found
Elaine Alys Haxton,Elaine Haxton,https://www.austlit.edu.au/austlit/page/A59738,Elaine Haxton,https://www.austlit.edu.au/austlit/page/A59738,Haxton,TRUE,Elaine Haxton,https://www.austlit.edu.au/austlit/page/A59738,Exact match,Haxton,Haxton
Claire Healy,Tim Dolin,https://www.austlit.edu.au/austlit/page/A85922,No Result Found,,Healy,TRUE,,,"No match, but related record",Dolin,Found
Mona Hessing,No Result Found,,No Result Found,,Hessing,TRUE,No Result Found,,No match,Found,Found
Joy Hester,Joy Hester,https://www.austlit.edu.au/austlit/page/A60098,Joy Hester,https://www.austlit.edu.au/austlit/page/A60098,Hester,TRUE,Joy Hester,https://www.austlit.edu.au/austlit/page/A60098,Exact match,Hester,Hester
Nora Heysen,Nora Heysen,https://www.austlit.edu.au/austlit/page/A59437,Nora Heysen,https://www.austlit.edu.au/austlit/page/A59437,Heysen,TRUE,Nora Heysen,https://www.austlit.edu.au/austlit/page/A59437,Exact match,Heysen,Heysen
Jacqueline Hick,Gloria Strzelecki,https://www.austlit.edu.au/austlit/page/6079388,Jacqueline Hick,https://www.austlit.edu.au/austlit/page/A79818,Hick,TRUE,Jacqueline Hick,https://www.austlit.edu.au/austlit/page/A79818,Exact match,Strzelecki,Hick
Dale Hickey,Dale Hickey,https://www.austlit.edu.au/austlit/page/A65978,Dale Hickey,https://www.austlit.edu.au/austlit/page/A65978,Hickey,TRUE,Dale Hickey,https://www.austlit.edu.au/austlit/page/A65978,Exact match,Hickey,Hickey
Adrienne Higgs,Adrienne Higgs,https://www.austlit.edu.au/austlit/page/A151355,Adrienne Higgs,https://www.austlit.edu.au/austlit/page/A151355,Higgs,TRUE,Adrienne Higgs,https://www.austlit.edu.au/austlit/page/A151355,Exact match,Higgs,Higgs
Andrew Hill,Harry Downie,https://www.austlit.edu.au/austlit/page/A72492,John Jenkins,https://www.austlit.edu.au/austlit/page/A20818,Hill,TRUE,,,"No match, but related record",Downie,Jenkins
Frank Hinder,Robert Kennedy,https://www.austlit.edu.au/austlit/page/A75162,Frank O'Grady,https://www.austlit.edu.au/austlit/page/A33890,Hinder,TRUE,,,"No match, but related record",Kennedy,O'Grady
Margel Ina Hinder,No Result Found,,No Result Found,,Hinder,TRUE,No Result Found,,No match,Found,Found
Alice Hinton-Bateup,No Result Found,,No Result Found,,Hinton-Bateup,TRUE,No Result Found,,No match,Found,Found
Frank Hodgkinson,Frank Hodgkinson,https://www.austlit.edu.au/austlit/page/A65031,Frank Hodgkinson,https://www.austlit.edu.au/austlit/page/A65031,Hodgkinson,TRUE,Frank Hodgkinson,https://www.austlit.edu.au/austlit/page/A65031,Exact match,Hodgkinson,Hodgkinson
Pat Hoffie,Pat Hoffie,https://www.austlit.edu.au/austlit/page/A116134,Pat Hoffie,https://www.austlit.edu.au/austlit/page/A116134,Hoffie,TRUE,Pat Hoffie,https://www.austlit.edu.au/austlit/page/A116134,Exact match,Hoffie,Hoffie
Quentin Hole,Quentin Hole,https://www.austlit.edu.au/austlit/page/A41404,Quentin Hole,https://www.austlit.edu.au/austlit/page/A41404,Hole,TRUE,Quentin Hole,https://www.austlit.edu.au/austlit/page/A41404,Exact match,Hole,Hole
Gordon Hookey,Gordon Hookey,https://www.austlit.edu.au/austlit/page/6035474,Gordon Hookey,https://www.austlit.edu.au/austlit/page/6035474,Hookey,TRUE,Gordon Hookey,https://www.austlit.edu.au/austlit/page/6035474,Exact match,Hookey,Hookey
Ian Howard,John Sherman,https://www.austlit.edu.au/austlit/page/A148532,John N. McCallum,https://www.austlit.edu.au/austlit/page/A104716,Howard,TRUE,,,"No match, but related record",Sherman,McCallum
Glenn Iseger-Pilkington,Glenn Iseger-Pilkington,https://www.austlit.edu.au/austlit/page/8839182,Glenn Iseger-Pilkington,https://www.austlit.edu.au/austlit/page/8839182,Iseger-Pilkington,TRUE,Glenn Iseger-Pilkington,https://www.austlit.edu.au/austlit/page/8839182,Exact match,Iseger-Pilkington,Iseger-Pilkington
Akira Isogawa,Akira Isogawa,https://www.austlit.edu.au/austlit/page/A150766,Akira Isogawa,https://www.austlit.edu.au/austlit/page/A150766,Isogawa,TRUE,Akira Isogawa,https://www.austlit.edu.au/austlit/page/A150766,Exact match,Isogawa,Isogawa
Tjupurrula Jack,No Result Found,,No Result Found,,Jack,TRUE,No Result Found,,No match,Found,Found
Eunice Napanangka Jack,No Result Found,,No Result Found,,Jack,TRUE,No Result Found,,No match,Found,Found
Robert Jacks,Robert Jack,https://www.austlit.edu.au/austlit/page/A47573,Robert Jack,https://www.austlit.edu.au/austlit/page/A47573,Jacks,TRUE,Robert Jack,https://www.austlit.edu.au/austlit/page/A47573,"No match, but related record",Jack,Jack
Jeanette James,Jeanette James,https://www.austlit.edu.au/austlit/page/A80666,Jeanette James,https://www.austlit.edu.au/austlit/page/A80666,James,TRUE,Jeanette James,https://www.austlit.edu.au/austlit/page/A80666,Exact match,James,James
Sam Jinks,J. Oscar Whittenoon,https://www.austlit.edu.au/austlit/page/A123823,No Result Found,,Jinks,TRUE,,,"No match, but related record",Whittenoon,Found
Tim Johnson,Tim Johnson,https://www.austlit.edu.au/austlit/page/A35941,Tim Johnson,https://www.austlit.edu.au/austlit/page/A35941,Johnson,TRUE,Tim Johnson,https://www.austlit.edu.au/austlit/page/A35941,Exact match,Johnson,Johnson
Ruth Johnstone,Ruth Johnston,https://www.austlit.edu.au/austlit/page/A12389,Ruth Johnston,https://www.austlit.edu.au/austlit/page/A12389,Johnstone,TRUE,Ruth Johnston,https://www.austlit.edu.au/austlit/page/A12389,"No match, but related record",Johnston,Johnston
Dianne Jones,Dianne Jones,https://www.austlit.edu.au/austlit/page/23615378,Dianne Jones,https://www.austlit.edu.au/austlit/page/23615378,Jones,TRUE,Dianne Jones,https://www.austlit.edu.au/austlit/page/23615378,Exact match,Jones,Jones
Jonathan Jones,Jonathan Jones,https://www.austlit.edu.au/austlit/page/8645057,Jonathan Jones,https://www.austlit.edu.au/austlit/page/8645057,Jones,TRUE,Jonathan Jones,https://www.austlit.edu.au/austlit/page/8645057,Exact match,Jones,Jones
Col Jordan,Marilyn Peck,https://www.austlit.edu.au/austlit/page/A86611,No Result Found,,Jordan,TRUE,,,"No match, but related record",Peck,Found
Narelle Jubelin,No Result Found,,No Result Found,,Jubelin,TRUE,No Result Found,,No match,Found,Found
Mabel Juli,Mabel Juli,https://www.austlit.edu.au/austlit/page/A127857,Mabel Juli,https://www.austlit.edu.au/austlit/page/A127857,Juli,TRUE,Mabel Juli,https://www.austlit.edu.au/austlit/page/A127857,Exact match,Juli,Juli
Tilo Nangala Jurra,No Result Found,,No Result Found,,Jurra,TRUE,No Result Found,,No match,Found,Found
Jenny Kee,Jenny Kee,https://www.austlit.edu.au/austlit/page/A61136,Jenny Kee,https://www.austlit.edu.au/austlit/page/A61136,Kee,TRUE,Jenny Kee,https://www.austlit.edu.au/austlit/page/A61136,Exact match,Kee,Kee
Jimmy Jampijinpa Kelly,Lord Vestey,https://www.austlit.edu.au/austlit/page/9911550,No Result Found,,Kelly,TRUE,,,"No match, but related record",Vestey,Found
Norman Tjampitjinpa Kelly,No Result Found,,No Result Found,,Kelly,TRUE,No Result Found,,No match,Found,Found
Deborah Kelly,Deborah Kelly,https://www.austlit.edu.au/austlit/page/A152142,Deborah Kelly,https://www.austlit.edu.au/austlit/page/A152142,Kelly,TRUE,Deborah Kelly,https://www.austlit.edu.au/austlit/page/A152142,Exact match,Kelly,Kelly
Roger Kemp,Christopher Heathcote,https://www.austlit.edu.au/austlit/page/A73373,Roger Kemp,https://www.austlit.edu.au/austlit/page/A114647,Kemp,TRUE,Roger Kemp,https://www.austlit.edu.au/austlit/page/A114647,Exact match,Heathcote,Kemp
Michel Kemp,Rebecca Starford,https://www.austlit.edu.au/austlit/page/A95368,No Result Found,,Kemp,TRUE,,,"No match, but related record",Starford,Found
Lucy Napaljarri Kennedy,Lucy Napaljarri Kennedy,https://www.austlit.edu.au/austlit/page/A122908,Lucy Napaljarri Kennedy,https://www.austlit.edu.au/austlit/page/A122908,Kennedy,TRUE,Lucy Napaljarri Kennedy,https://www.austlit.edu.au/austlit/page/A122908,Exact match,Kennedy,Kennedy
Roy Kennedy,Roy Kennedy,https://www.austlit.edu.au/austlit/page/A123168,Roy Kennedy,https://www.austlit.edu.au/austlit/page/A123168,Kennedy,TRUE,Roy Kennedy,https://www.austlit.edu.au/austlit/page/A123168,Exact match,Kennedy,Kennedy
Peter Kennedy,Robert Peter Kennedy Crow,https://www.austlit.edu.au/austlit/page/A47969,Robert Peter Kennedy Crow,https://www.austlit.edu.au/austlit/page/A47969,Kennedy,TRUE,Robert Peter Kennedy Crow,https://www.austlit.edu.au/austlit/page/A47969,"No match, but related record",Crow,Crow
J. N. Kilgour,J. N. Kilgour,https://www.austlit.edu.au/austlit/page/14475912,J. N. Kilgour,https://www.austlit.edu.au/austlit/page/14475912,Kilgour,TRUE,J. N. Kilgour,https://www.austlit.edu.au/austlit/page/14475912,Exact match,Kilgour,Kilgour
Mark Kimber,Chris Sun,https://www.austlit.edu.au/austlit/page/A139174,No Result Found,,Kimber,TRUE,,,"No match, but related record",Sun,Found
Inge King,Inge King,https://www.austlit.edu.au/austlit/page/A123419,Inge King,https://www.austlit.edu.au/austlit/page/A123419,King,TRUE,Inge King,https://www.austlit.edu.au/austlit/page/A123419,Exact match,King,King
Peter Kingston,Peter Kingston,https://www.austlit.edu.au/austlit/page/A150471,Peter Kingston,https://www.austlit.edu.au/austlit/page/A150471,Kingston,TRUE,Peter Kingston,https://www.austlit.edu.au/austlit/page/A150471,Exact match,Kingston,Kingston
Robert Klippel,James Gleeson,https://www.austlit.edu.au/austlit/page/A14212,Robert Klippel,https://www.austlit.edu.au/austlit/page/A85541,Klippel,TRUE,Robert Klippel,https://www.austlit.edu.au/austlit/page/A85541,Exact match,Gleeson,Klippel
Emily Kame Kngwarreye,Emily Kame Kngwarreye,https://www.austlit.edu.au/austlit/page/A72471,Emily Kame Kngwarreye,https://www.austlit.edu.au/austlit/page/A72471,Kngwarreye,TRUE,Emily Kame Kngwarreye,https://www.austlit.edu.au/austlit/page/A72471,Exact match,Kngwarreye,Kngwarreye
Mark Knight,Mark Knight,https://www.austlit.edu.au/austlit/page/A71242,Mark Knight,https://www.austlit.edu.au/austlit/page/A71242,Knight,TRUE,Mark Knight,https://www.austlit.edu.au/austlit/page/A71242,Exact match,Knight,Knight
Jack Louis Koskie,Arch Fernd,https://www.austlit.edu.au/austlit/page/A43842,Jack Koskie,https://www.austlit.edu.au/austlit/page/A135198,Koskie,TRUE,Jack Koskie,https://www.austlit.edu.au/austlit/page/A135198,Exact match,Fernd,Koskie
Maria Kozic,Philip Brophy,https://www.austlit.edu.au/austlit/page/A113512,No Result Found,,Kozic,TRUE,,,"No match, but related record",Brophy,Found
Elisabeth Kruger,Roy Rene,https://www.austlit.edu.au/austlit/page/A9923,Roy Rene,https://www.austlit.edu.au/austlit/page/A9923,Kruger,TRUE,Roy Rene,https://www.austlit.edu.au/austlit/page/A9923,"No match, but related record",Rene,Rene
Joey Laifoo,No Result Found,,No Result Found,,Laifoo,TRUE,No Result Found,,No match,Found,Found
Rosemary Laing,Helen Carroll,https://www.austlit.edu.au/austlit/page/A153742,Elizabeth Lawson,https://www.austlit.edu.au/austlit/page/A24865,Laing,TRUE,,,"No match, but related record",Carroll,Lawson
Richard Larter,Leslie Thomas,https://www.austlit.edu.au/austlit/page/A13074,No Result Found,,Larter,TRUE,,,"No match, but related record",Thomas,Found
Pat Larter,No Result Found,,No Result Found,,Larter,TRUE,No Result Found,,No match,Found,Found
